,Etruscan,Translations,POS,Is inferred,Is suffix,Abbreviation of,Suffix indexes,city name,place name,name,epithet,theo,cogn,prae,nomen,nom,acc,masc,fem,nas-part,nasa-part,u-part,θ-impv,θ-part,θas-part,as-part,act,pass,non-past,past,impv,jussive,necess,inanim,anim,indef,def,deictic particle,enclitic particle,enclitic conj,dem,adv,art,conj,post,pro,rel,subord,neg,num,1st gen,2nd gen,1st abl,2nd abl,loc,1st pert,2nd pert,1st pers,2nd pers,3rd pers,pl,gen,abl,pert,TAG
23,θ,"((True, 'in'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,ADP
24,ti,"((True, 'in'), (True, 'on'))",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,DET
25,θ,(),enclitic particle,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRT
26,θi,"((True, 'in'), (True, 'on'))",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,ADP
27,θi,"((True, 'on'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,ADP
28,m,"((True, 'but'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,ADP
29,c,"((True, 'and'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRON
30,m,"((True, 'and'), (True, 'but'))",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,ADP
31,.i.tule,"((True, 'the'),)",dem pro loc,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,0,0,1,0,0,,,,,False,False,False,DET
32,iśvla,"((True, 'the'),)",def art 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,CONJ
33,ca,"((True, 'the'),)",dem pro nom acc,False,True,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,0,0,0,0,0,,,,,False,False,False,DET
34,tiσ,"((True, 'this'),)",dem pro 1st abl,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,0,1,0,0,0,0,,,,,False,True,False,ADP
35,em,"((True, 'from'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,DET
36,ς'va,"((True, 'the'),)",def art pl nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,1,False,False,False,DET
37,ri,"((True, 'on behalf of'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,DET
38,k,"((True, 'and'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRON
39,sa,"((True, 'the'),)",def art nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,ADP
40,c,(),enclitic particle,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,DET
41,σ'a,"((True, 'the'),)",def art nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,CONJ
42,śla,"((True, 'the'),)",def art 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,PRON
43,m,"((True, 'and'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,CONJ
44,[p]e,(),enclitic particle,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,ADP
45,pe,(),enclitic particle (?),False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRT
46,iśvle,"((True, 'the'),)",def art pl 2nd pert,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,1,,,,1,False,False,True,CONJ
47,oi,"((True, 'on'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,DET
48,śa,"((True, 'the'),)",def art nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,PRON
49,ri,"((True, 'on behalf of'), (True, 'for'))",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,DET
50,χ,"((True, 'and'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,CONJ
51,da,"((True, 'the'),)",dem pro 2nd gen,False,True,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,1,0,0,0,0,0,,,,,True,False,False,ADP
52,l,(),enclitic particle,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,ADP
53,θi,"((True, 'in'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,DET
54,l,(),deictic particle,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,DET
55,c,"((True, 'the'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRT
56,tra,"((True, 'in honor of'),)",post,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,False,False,False,CONJ
57,pi,(),enclitic particle (?),False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,False,False,False,DET
58,c,(),enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,PRT
59,iσ',"((True, 'the'),)",def art nom,False,True,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,DET
60,[c],"((True, 'and'),)",enclitic conj,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,False,False,False,CONJ
61,capue,"((True, 'in capua'),)",city name loc,False,False,,,1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,,,,False,False,False,NOUN
62,enaσ',"((False, 'ena'),)",city name (?) 1st gen,False,False,,,0.5,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
63,velcl,"((True, 'velca'),)",,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
64,veldθi,"((True, 'velca'),)",city name 2nd gen,False,False,,"(53,)",1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
65,vipśl,"((True, 'vipsa'),)",city name 2nd gen,False,False,,,1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
66,kamarte,"((True, 'kamarta'),)",city name loc,False,True,,,1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,,,,False,False,False,NOUN
67,kamarteθi,"((True, 'kamarta'),)",city name loc,False,True,,"(53,)",1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,,,,False,False,False,NOUN
68,perśie,"((True, ''), (True, 'pershia perusia'))",city name loc,False,False,,,1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,,,,False,False,False,NOUN
69,tarśminaσσ,"((True, 'trasimene'),)",place name 1st gen (?),False,False,,,0,1,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,0,0,0,0,0,,,,,True,False,False,NOUN
70,tarχnal,"((True, 'tarkhna'),)",city name 2nd gen,False,True,,,1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
71,tarχnalθi,"((True, 'tarkhna'),)",city name 2nd gen,False,False,,"(53,)",1,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
72,tlenaχeiσ',"((True, 'tlenakhe'),)",place name (?) 1st abl,False,False,,,0,0.5,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,False,True,False,NOUN
73,χiśulicσ,"((True, 'khishuli'),)",place name (?) 1st abl,False,False,,,0,0.5,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,,,,False,True,False,NOUN
74,aiθas,"((True, 'aitha'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
75,aχrum,"((True, 'acheron'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
76,aχuiaσ,"((True, 'akhuia'),)",theo epithet 1st gen,False,False,,,,,,1,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
77,[cav]aθas,"((True, 'cavatha'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
78,caθas,"((True, 'catha'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
79,canlas,"((True, 'cania'),)",theo epithet 1st gen,False,False,,,,,,1,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
80,celσ,"((True, 'сеl'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
81,clz,"((True, 'сеl'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
82,espial,"((True, 'espi'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
83,hercle,"((True, 'hercle'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
84,hercles,"((True, 'hercle'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
85,hercle.s.,"((True, 'hercle'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
86,huinθnaias,(),theo epithet 1st gen,False,False,,,,,,1,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
87,θuflθaσ,"((True, 'thufltha'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
88,θuflθas,"((True, 'thufltha'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
89,θuσuθur,"((False, 'thusu gods'),)",theo anim pl nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,1,False,False,False,NOUN
90,kavθaσ,"((True, 'kautha'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
91,leθa.m.su.l,"((True, 'lethams'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
92,lurmi,(),nom acc,False,True,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,
93,lurmicla,(),nom acc,False,False,,"(51,)",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,
94,luśaσ,"((True, 'lusha'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
95,matrnσl,"((True, 'matrns'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
96,men[er]avas,"((True, 'minerva'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
97,menervas,"((True, 'menerva'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
98,menrvas,"((True, 'minerva'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
99,neθunσl,"((True, 'nethuns'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
100,neθunsl,"((True, 'nethuns'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
101,σ'eθlans,"((True, 'shethlans'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
102,raθs,"((True, 'rath'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
103,sanχuna,"((True, 'of sankhu'),)",theo epithet nom acc,False,True,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
104,sanχuneta,"((True, 'of sankhu'),)",theo epithet nom acc,False,False,,"(17,)",,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
105,selvans,"((True, 'selvans'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
106,selvansl,"((True, 'selvans'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
107,sil<v>anz,"((True, 'selvans'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
108,tece•śanσl,"((True, 'tece shans'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
109,tetanuσ,"((True, 'tetanu'),)",theo epithet 1st gen,False,False,,,,,,1,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
110,ti[---],(),theo (?),False,False,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,NOUN
111,tinas,"((True, 'tinia'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
112,tinia,"((True, 'tinia'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
113,tinσ,"((True, 'tinia'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
114,trepu,"((True, 'trepu'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
115,turmsal,"((True, 'turms'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
116,turns,"((True, 'turan'),)",theo 1st gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
117,uni,"((True, 'uni'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
118,unial,"((True, 'uni'),)",theo 2nd gen,False,False,,,,,,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
119,fuflunusra,"((True, 'of fufluns'),)",theo nom acc,False,False,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
120,[----]s,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
121,a,"((True, 'aule'),)",masc prae nom acc,False,False,aule,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
122,aule,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
123,a,"((True, 'aule'),)",masc prae 1st gen,False,False,auleσ,,,,,,,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,True,False,False,NOUN
124,auleσ,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
125,acnatrual,"((True, 'acnatrui'),)",fem nomen 2nd gen,False,True,,,,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
126,acnatrualc,"((True, 'acnatrui'),)",fem nomen 2nd gen,False,False,,"(29,)",,,,,,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,True,False,False,NOUN
127,ae,"((True, 'aule'),)",masc prae nom acc,False,False,avle,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
128,avle,(),,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,
129,av,"((True, 'aule'),)",masc prae nom acc,False,False,avle,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,False,False,False,NOUN
