key,T,C,A,CIEP
2,,vencn(i)al(si),,262
1,sthnuvlthathsa,,,264
2,amthnial,amthnial,,265
1,,lecne amthnial renine(s),,267
1,,larthi lecnesa,,268
2,vuisinal,vuisin(i)al,,269
3,arthal,,mrs-arnthi,270
1,--lecne,,mr-aulelecne,271
2,--uisina,,,271
1,,c(a(i)i) c(a(i)i),of-mr-caiusliciniusnigermr-caiuss,272
3,fapirnal,fapirn(i)al,,272
2,lecnesa,,,275
2,sesctnal,sesctn(i)al,,276
2,cnesa,,mr-lecnes-daughters-husband,277
2,tevatnal,tevatn(i)al,mrs-tevatnis,278
3,lecnesa,lecnesa,,278
2,,nairn(ia)l,,282
1,,semna fapre(s),mr-larissemnamrs-aulismr-fapres,283
1,,larthi larnei(al),,290
2,antinal,,,293
1,,larthi pumpui(al),,296
1,msatruesurcunusa,,,299
1,--ilarisafpuaskrpnasamm,,,300
1,vnat,(mi,ofmr-velnata,303
1,menamecanacliviniatrecteveluslarthu,,,304
2,thnal,,,307
2,seinal,,,308
1,,larthi macia(s) sueitusi(al),,309
1,mifupninalarth,,ithe-burial-boxof-mr-larth,312
2,arnthal,arnth(i)al,mrs-arnthis,313
2,scurfiu,scurfiu(s),,314
2B,afur,,mr-afuries,315
2,alfnal,,mrs-alfnis-daughters-husband,318
2,titisec,,mrs-titis,326
3,us,,mr-secus,326
2,natial,,,328
1,,thu(i),here,339
4,sa,,mr-seurus-sons-wife,339
1,-------rnal,,mr-larthmrs-purnis,344
2,arntles,,,346
2A,alufnei,alufnei(alisa),mrs-alufneis-daughtershusband,347
1,atainei,,,350
1,ecnatne,,mr-ecnatne,352
2,fulni,fulni(alisa),mrs-fulnis-daughters-husband,354
1,--rnpv,,mr-crespe,357
1,,lart,mr-lart,362
2,thalisa,,,363
2,athnui(al),,,366
1A,caznei,,ms-little-canei,368
2,avlekavinisech,,,370
1,tins,,the-god-tinias,371
1,kamsa,,mr-kames-daughters-husband,373
2,kapusa,,,373
1,,l(ar)th,,375
1,,knaes,,376
1,miklaninsl,,,380
2,rni,,mr-larthmr-steprnies,384
3,authnal,authn(i)al,,384
2,lethial,lethial,,385
2,caurias,,,386
1,------arisfalasasnasma,falasasnas,,387
1,thukerakiltusthuvep,,,388
1,----------cvas,,,391
2,vestrnalisa,vestrn(i)alisa,,392
1,arnthvelchatini,,mr-arnthmrs-velchatinis,393
2,vestrnaisa,,,393
1,arnthvelcha--------,,mr-arnthvelchatinis,394
2,vestrn----------,vestrn(i)alisa,,394
2,vestrnalsa,vestrn(i)al(i)sa,,395
2,nal,,,396
1,thanuchvilus,,,400
1,,asate(sa) atain(i)al,,402
1,--rauchni,frauchni,ms-frauchni,405
2,vethurus,,,405
1,,mi arunth{ }i{ }a(s),imr-arunthiakusiunas,406
1A,nchvilkilneivelasna,,,408
1B,velfeimnitutiaklantha,kilnei(alisa),,408
2A,lsech,,,408
1,lartfe----,,mr-lart,409
2,nikilna,kilna(s),feimnie,409
3,klan,klan,,409
1,lartfeimniviske,,mr-lartmrs-feimnismr-viskes,410
2,tutnai,,,410
1,velfemni,,mr-velmrs-femnis,411
2,viskesa,viskesa,,411
2,,klan,mrs-arkanis,412
3,sucnei,sucnei(alisa),,414
1,,tites crespe(s) tarchniei(alisa),,415
1,veliafapuri,,mr-veliamrs-fapurisdaughters-husband,419
2,arnthal,arnth(i)al,,419
3,rnal,,,422
1,mi,mi,,423
3,semusathnis,,,423
2,nerina,nerina(s),,424
1,,aveini(al),,426
2,ciarthialisa,ciarthialisa,mrs-ciarthis-daughtershusband,428
1B,talce,talce(s),mr-talces,429
2B,cainal,,,429
1,,steprni(al) talce(sa),,430
1,larthititlnei,,mrs-larthititlnei,432
2,ciarthisa,ciarthi(e)sa,,432
2,inei,,mr-larttulemrs-tavineis,433
1,masmumus,,,434
1,zichu,zichu,the-scribe,435
2,mesin,,,435
4,turce,,donated,438
1,tular,tular,boundaries,439
1A,tular,,boundaries,439
2,rasnal,rasn(i)al,of-the-etruscan-people,439
2A,rasnal,,of-the-etruscan-people,439
2B,rasnal,,,439
3,--ular,tular,boundaries,439
4,----snal,rasn(i)al,of-the-etruscan-people,439
3,salthn,,,443
6,salthn,salth(a)n,,443
2,sturuathi,,mr-pumpusmrs-turuis,444
3,alisa,,mrs-arnthis-daughters-,444
1,,fanacn(i)al thu(v)flthas(i),mr-veliasmrs-fanacnis,446
2,sl,,this-dedicatory-statueto-the-,447
1,fastia cnevial,,,450
1,aulelatitheaule--s,,,452
1,venezatipe,,,454
1,aviiisiiivs,,,457
1,,v(e)l(ia) urstine,,458
1,,vuisi(al),,460
1,,tetnei(al),,462
1,anisallaetchu,etchu(sa),mrs-anisismr-larissmr-etchus-daughtershusband,463
1,larticais,,ms-lartimr-caies,467
2,thui,thui,here,467
2,cipinal,,,468
1,latn,la(u)tn(itha),the-slave,469
2B,curtxn,,,471
2,vurses,vurses,the-fire,474
3,seflanl,,of-the-goddess-vulcana,474
4,tefral,tefr(i)al,the-goddess-tefris,474
5,apetersnu,,fathersdo-fulfill,474
6,pisestestu,pisestestu,,474
1,,thania tetinasa,,476
1,,l(ar)tth tetina marcn(i)al,,478
1,zarthiasepialupuval,z(eth) ar(n)thias epial,,484
1,la--------ch----eich----re----a,,,488
1,,vipine,mr-vipine,490
2,sa,,,490
2,,tarusa,,492
1,thanavuisinei,,mr-thanamrs-vuisineis,493
2,larthal,larth(i)al,,496
2,ancarias,ancarias,,497
2,enatia,,,498
2,ru,,,499
1,puplu----ta------,,,501
1,,larthi murinei(al),,503
3,thermfi,thermfi(al),mrs-thermfis,504
2,velcaias,velcaias,,509
2,rutania,,,515
2,as,,,517
2,thurnei,,,525
1,,larthi,ms-larthi,526
2,etrual,,,531
1,,latial,mr-larthpantnamr-velias,532
2,vesacnei,vesacnei(al),mrs-vesacneis,539
3,fetarias,fetarias,,539
2,velunu,velunu(s),,546
1,,l(ar)th vipi(al) a(rn)th(us),,547
3,melchral,melchr(i)al,,548
2,,ra(mthas),mr-ramthas,550
1,,ar(n)th achuni(al),,553
2,chumtus,chumtus,,555
1,apapaulithalth,,our-fathermr-pupliemrsaulismr-thanas,556
1C,--eletharitetin----,,,558
2,ravfia,,,563
1,larthi,larthi,mrs-larthi,568
2,larsti,larsti(al),mrs-larstis,568
3,anesa,,mr-anes-sons-wife,568
2,vezra,vezra(s),mr-vezras,569
1,,l(ar)th cupuna churun(i)al,,570
2,fetharia,fetharia,fetharia,572
3,serturna,,,572
2,pelnati,pelnati(al),,578
1A,statinei,statinei(alisa),mrs-statineis-daughtershusband,579
1B,statinei,,,579
2B,alisa,,,579
1,,a(rn)th fuluni(al),,580
1,,arnth ancari(al),,582
2,sapicnal,,,585
1,thania,thania,mr-thania,586
2,fuluni----------i,,,588
2,lutnitha,lutnitha,,592
2,larthalisa,larth(i)alisa,,594
1,,fastia,mr-fastia,597
1,arnthane,,mr-arnthane,598
1,larthaci,,mr-larthmrs-acis,599
2,lartha,lartha(s),,599
1,cusine,,,604
2,capnal,capn(i)al,,607
1,,l(ar)th,mr-larth,608
2,vipinei,,,609
2,larth(i)alisa,,,614
1,arsme,arsme,ms-arsme,628
1,,fulnei,ms-fulnei,631
2,leichunia,leichunia(s),mr-leichuniasdaughter,633
3,lethial,lethial,mrs-lethis,633
1,,larthi leichunia(s),,634
1,larthiavipi,,mr-larthia,636
2,neicapznal,capzn(i)al,mrs-vipineis-daughtershusband,636
1,,capznasa,mr-larthiamrs-vipineismr-capznas-daughters-husband,637
2,pethnal,pethn(i)al,,639
1,,p(uple),,642
1,,th(an)a velni(al) uchumzna(s),,644
1,,petruni(al),,653
2,ancarna,,,657
1,,spurin(i)al,,658
1,,murina,mr-aulemurinamrs-arnthisdaughters-husband,659
2,thaznthnal,thaznthn(i)al,,665
2,vipina,,,666
2,vipin(i)al,vipin(i)al,,668
1,venzazemni,,mr-little-venelmrs-zemnis,672
2,titialisa,,,672
2,----------monis,,mr-lucumos,679
1,,papir(i)i,,680
1,,arnt,mr-arnt,685
3,thal,,,685
1,,a(rn)th artni(al),mr-arnthmrs-artnis,686
1B,anfares,,mr-anfares,686
2,larthal,,,690
1,,thania,,691
1,,a(rn)th artni(al),,694
1,,arnza petrni(al),,697
1,,velsi(al),,698
1,,pulfnasa,,699
1B,cesu,,,707
1,,sethre cezartle,,708
1,,l(ibertvs),,709
2,,thocerv(i)al,mrs-thocervis,714
1,,c(aii),mr-caiusanniusmr-caiussson,726
6,,t(iti) arniese,,727
2,maxsimi,maxsimi,mr-maxsimuss,728
3,a----vxsor,,,728
2,------etisvasa,,mrs-anniaetisvasa,729
1,vlap,,mr-veliaapice,731
2,,arices,,731
1,,l(ar)th arntni(al),,732
1,,artnei(al) l(ar)th(us),mr-thanamrs-artneismr-larths,733
2,salinal,,,733
1,,venete,mr-luciusvenetemr-velsson,735
1,,s(e)n(n)ae,mr-luciussennassonmrtitus,736
2,arrip,,,736
2B,peciania,peciania(sa),mr-pecianias-sons-wife,742
3A,p--c----na,pecian(i)a(sa),mr-pecianias-sons-wife,742
1,varnali(e)s,varnali(e)s,mr-varnaliesslave,745
2,n---lila,,,745
1,,velnei(al),,746
1B,nsm,nsm,,747
1,lart,,mr-lart,751
2,,veliesa,,752
2,puia,,,757
1,vuisinieista,,,763
1,ramtha,ramtha,mr-ramtha,764
1,larthferina,,mr-larthferina,766
2,cecu,cecu(s),,772
1,,v(e)l(ia),,773
2,,vanina(s),mr-vaninas,774
3,reuthnal,reuthn(i)al,,774
2,balls,,mr-aulusmarcius,776
2,perstiesa,,,777
2,--rnthalisa,,,779
2,raufias,raufias,,780
3,numsina,numsina,,781
2,raufial,raufial,,782
1,----rthi,,ms-larthi,783
2,ancarnei,ancarnei(al),mrs-ancarneis,783
3,,m(u)rinas,,783
2,feusinal,,raufemrs-usinis,784
2,harispex,harispex,inspector-of-entrails,786
3,,vuuv,petroniaof-years,789
1,,l(ar)th seiante,,795
1,,remznei(al),,796
2,tetinalisa,tetin(i)alisa,,803
1,,v(e)l(ia) tetina cultan(i)al,,804
1,vltetinacuutanal,,,805
1,,presntial,,807
2A,presnts,,presente,808
2,tnal,,,810
2,anetnal,anetn(i)al,,811
1,danatidi,,ms-thanimr-tithiasdaughter,819
2,stephiani,stephiani,,822
2,cavslinis,,,824
1B,,carn(i)al,,826
1,------utasa,melutasa,,827
1,,a(rn)th,,828
1,artabassa,,mrs-artabassa,832
2,,arnth(i)al,,832
1,anicona,,ms-anicona,834
3,paperis,paperis,,834
1,,tlesna,,835
1,,l(ar)th canzna velthurusa,,847
1,vensa,,,848
2,cartlia,,,848
1,,pu(plial),mr-larthcaupnemr-larissmrs-puplis,849
2,faltunet--,faltunete(s),mr-faltunetes,859
3,nunial,nunialisa,,859
2,faltunei,faltunei(al),mrs-faltuneis,860
3,nunial,,,860
1,,a(rn)thei,,861
2,thuceri,thuceri(al),mrs-thuceris,862
3,capatine,,mr-capatines,862
1,--------uricia,,,863
3,larthias,,,866
2,,l(vc(i)i) l(iberti),mr-luciuspassieniusapollonussmr-luciuss,868
3,,passien(i)ae l(vc(i)i),,868
2,,lautnata,slave,870
3,serturus,serturus,,870
1,thania,,ms-thania,873
2,,svdernia ar(rvntis),suderniamr-arrunssdaughter,873
1,------tilla,,ms-little-quarta,875
1,aipraupz,,ms-aulimr-praupes,880
1,------------spuiia,,mr-etruscaswife,882
2,,}na{ }li(e)s,mr-varnaliesslave,890
3,,c(aii),mr-caiuscaesiusmr-caiusssonof-mrs-varia,890
1,velferi,,mr-vel,893
2,nalartha,,ferina,893
3,lisa,,,893
1,,pulfnei(al),mr-thanamrs-pulfneimrs-patacsis-sons-wifemrs-,895
3,aisias,,mr-asias,897
1,,l(a)r(is) canthusa cetisn(i)al,,902
2,chumzn,,,912
3,,visce(s),,912
2,vecnal,vecn(i)al,,917
1,thanathansinei,,mr-thanamrs-thansineis,919
2,en--------,,,923
2,n--tnia,,,925
2,pacinnal,pacinn(i)al,,928
2,pacinal,pacin(i)al,,930
3,calinal,,mrs-calinis,931
1,cainia,,,934
2,cnevias,,,935
1,,th(an)a,mr-thana,940
2,arnias,arnias,,940
1,,a(rn)th tutna,,942
1,fastisuthaneitutnas,,,943
2,presntesa,presntesa,,944
1,,v(e)l(ia) fastntru marcn(i)al,,945
1,,arnth fastntru marcn(i)al,,946
1,,vilin(i)al,,948
1,,cicusa,,949
1A,,a(rn)th,mr-arnthmrs-marcnismr-fermes,962
1B,vtrias,,,962
2,nurziunia,,,963
1B,znal,,,975
2,fastisa,,,977
2,pethnal,pethn(i)al,mrs-pethnis,978
3,netsvis,netsvis,,978
1,,c(a(i)i) ofill(i)i c(a(i)i),,982
2,bvcvli,,mr-caiusofilliusbuculussmrcaiusssons,982
1,,veliza,ms-little-velia,985
2B,,barnaevs,barnaeus,986
1,gavialarthi,,mr-gaviamrs-larthis,987
2,barnaes,barnaes,,987
1,,puplin(i)al,,993
2,petinates,petinates,,996
2,--en----e,lentie(s),,998
1,thania,,,999
2,rinthunal,,,1003
1,,v(e)l(ia) muthuna v(e)l(us),,1005
2,citheris,citheris,,1019
1,,larthi,mrs-larthi,1020
1,,sathnei(al) thansi(e)sa,,1021
1,,velchrasa,,1025
1,,utiesa,,1026
1,--------auchu----------s----a,,,1029
1,,veacial,,1037
1,,a(rn)th cumere l(ar)th(us),mr-arnthcumeremr-larths,1038
2,latinial,latinial,,1038
2,tetinal,,,1039
1,,cumere ar(n)th(ia)l,mr-lariscumeremrs-arnthis,1040
1,------------------ncusa,,,1044
1,,thania,mr-thaniamrs-seiantismr-larthcumerunias,1045
3,,se(c),,1046
1,,l(arisusa),mr-thana,1047
1B,patacsnal,,,1047
2A,iclantivl,,,1047
1,------merunias,,mr-larismr-cumerunias,1049
1,erina,,,1051
1,avthenna,,mr-avlethenna,1052
2,,ap{------}rini(al),mrs-aprinies,1052
3,larinal,,,1052
2,------niala,,mr-ferniasslave,1056
3,--------pli,,,1056
1,,larthi pulfnei(al) perisnei(alisa) la(utni),,1061
2,vetinal,,,1068
1,------velnthuru------,,,1071
1,sentifanunia,,mrs-sentimr-fanunias,1072
2,clantisa,,,1072
1,sentifanuniaclanti,,mrs-sentimr-fanunias,1073
1,tharemzn,th(an)a,mr-thana,1075
2,eicezrt,,mrs-remzneis,1075
1,,th(an)a remznei cezrtlial,,1076
1,,thania caiizirtli(al) puntas,,1077
1,,t(iti),,1079
2,eres,,mr-cumeres,1082
2,al,,mrs-fremrnis-daughtershusband,1085
3,,arnt zichn(i)al,,1085
1,,arnt,,1086
1,marcnei,,mrs-marcnei,1091
2,futiesa,,,1091
2,arnthi----,arnthial,mrs-arnthis,1097
1A,la,,mr-larisetrusca,1098
1C,------chma------,,,1098
1D,ifi,ifi,,1098
2,lanfesa,,,1106
1,lalas,,,1111
3,salint,salint(as),,1111
2,uratn,,,1113
1,furazni,furazni,ms-furazni,1114
1,,acnaice(sa),,1118
4,,nitruta,,1119
1,,teti(al),,1122
2,aulnis,aulni(e)s,aulnies,1124
3,arnthi--lisa,arnthialisa,mrs-arnthis-daughters-husband,1124
4,atinal,atin(i)al,mrs-atinis,1124
5,prusathn,,,1124
2,,sethre,mr-sethre,1130
1,arnthiclauniuivetina,,,1132
1,claniu,,mr-claniu,1133
1A,------upulatha,,mr-veliapupumr-larths,1134
1B,vepupulatha,,,1134
1,vlpumpula,,,1135
1A,misuthilarthiala,,,1136
2A,rkien----,,,1136
3B,,ni,memr-veteof-the-god-tiniaatchiusi,1136
1,lartmaare,,,1145
1,arnunis,,mr-arnunies,1146
1,vaeliza,,ms-little-vaeli,1147
1,mvrrenia,,ms-murrenia,1153
2,veliza,,,1153
1,miaratiaialtamenei,,imrs-aratiaismrstameneis-sons-wifes,1154
3,anvai,anvai,of-mrs-anva,1155
1,,l(ar)th matausn(i)al,,1160
1,,arntnei(al),,1162
1,,seiantial,,1163
2,,patuni(alisa),mrs-patunis-daughters-husband,1167
3,------risa,plautri(e)sa,,1167
1,fastia,fastia,mr-fastia,1168
1,------stia,fastia,mr-fastia,1169
2,aniusa,aniusa,,1169
1,sarthcethna--------------------a,,,1174
1,,fraucni(al) atain(i)alisa,,1179
1,,l(ar)th fraucni(al),,1182
1,,a(rn)th frauni(al),,1183
1,,a(rn)th tutni(al) velthurus velthritialisa,,1185
1,,larthi fraucnei(al) cumeresa,,1187
1,,a(rn)th fraucni(al) raufe(s),,1188
2,fraucnisa,fraucni(e)sa,mr-fraucnies-daughtershusband,1189
3,,ca(es),,1189
1,,larcna(s),,1190
1,,sepiesa ucumzn(i)al,,1193
1,,a(rn)th remzna zuchn(i)al,,1195
2,anasa,,,1196
1,si--------,,mr-sinu,1200
2,sc--------,scirias,,1200
2,septesa,,,1203
3,acilusa,acilusa,,1205
1,thastia,,mr-thastia,1206
2,,velsi(al),mrs-velsis,1206
2,,tarchia(l),mrs-tarchis,1211
2,,fasi velui(alisa) larcnasa,,1212
1,larcnei,,ms-larcnei,1213
2,velualpapa,,,1213
2,papaslisa,,,1214
1A,,seianti(alisa),imr-larthiamrs-seiantisdaughters-husbandmrs-sinunismr-svenias,1215
1,,thania cuizlania(s),,1220
1,an,,son,1223
2,,l(ar)th,mr-larthvelumrs-larthisdaughters-husbandmrs-tetinis,1223
2,tutnal,tutn(i)al,,1224
1,,tutn(i)al,,1225
1,,th(an)a tu(tna),,1226
1,,l{ }a{ }r(th) felial,,1228
1,,urinatesa,,1229
1,larza,larza,mr-little-larth,1232
3,theprinal,,mrs-theprinis,1232
2,stial,,,1233
2,,sinunas,mr-sinunas,1235
1,,thania tetasa,,1236
1,,l(ar)th melutn(i)al,,1237
2,melutnei,melutnei(alisa),mrs-melutneis-sons-wife,1238
3,urinatesa,urinatesa,,1238
1,cestna,,,1240
1,,thania fusui(al) cestnasa,,1244
1,,th(an)a tutnei(al),,1258
1,,thania tutnei(al),,1259
1,,ernth,,1260
1,velfelearnthalisa,,,1264
2,felialisa,,,1267
1,,thania remznei(al) felesa,,1268
1,,felesa,,1269
1,,l(ar)th cultana,,1271
2,teuci,teuci(al),,1274
1,capiu,,ms-capi,1276
2,ranazu,,,1276
3,sautles,,mr-autles,1276
1,,tlesnai(al),,1278
1,,a(rn)th tumiltni(al),,1280
1,,th(an)a,,1285
1,,pruciunia ar(nthus),,1286
1,aufapilarthial,fapi(al),mr-aulemrs-fapis,1290
3,hannossa,,mr-caiussentiushannossamrcaiussson,1295
1,,c(aii),quintustitiussrabliomrcaiussson,1298
2,fermnei,fermnei(al),mrs-fermneis,1299
3,tiusa,tiusa,mr-tius-sons-wife,1299
4,vetusal,,,1299
2,fermne,,,1301
1,tiuza,,,1302
1,,tiuza,,1303
1,tiuza,,mr-little-tiu,1304
2,thanas,,son,1304
3,tlesnal,,of-mr-tiuof-mrs-vetusi,1304
4,,thanas(a),mr-thanas-daughtershusband,1304
1,,tetina,mr-larthtetinamrs-arnthisdaughters-husbandmrs-,1305
2,sepre,sepre(sa),,1310
1,,l(ar)th velsi(al) a(rn)th(us),mr-larthtitemrs-velsismr-arnths,1311
2,causlinisa,causlini(e)sa,,1316
2,ariodantes in,,,1319
1,,a(rn)th cupsna,,1324
1,,larthi cnevi(al) cupsnasa,,1325
1,,th(an)a cupslnei(al),,1326
2,ferinial,,,1329
2,velthurias,velthurias,,1339
2,farpitia,,,1341
1,,purni(al),,1342
1,,a(rn)th purni(al),,1343
1,,piuti(al) puruni(e)sa,,1348
1,,arnti purni(al) a(rn)th(us),,1351
1,,rathmsn(i)al,,1355
2,,th(an)a tlesnei(al),mr-thanamrs-tlesneismr-ferinies-daughters-husband,1357
1,,larthi capsnei(al),,1363
1,,f(asti)a peithi(al) cupsnasa,,1364
2,peithial,,,1365
1B,cr,,,1370
1,,pepruni(al) thui,,1371
1,,a{ }rnth a(rn)th(us),,1377
1,,l(ar)th pulfnasa,mr-larthmrs-matausneis,1386
1,,larthi,mrs-larthimrs-vethneis,1388
1,,l(ar)th,mr-larthetruscamrs-larthismr-arnths,1389
1,,arnth(i)al pulfnas,,1394
1,,thania,mr-thaniamrs-remzaneis,1396
2,,clatpalci(al),,1398
2,pumpnasa,,mr-pumpnas-daughtershusband,1404
1,,mutu(i)al,,1414
2,ntiathun,a(rn)th(ial),sentia,1421
4,snasacumvru,,mr-rathumsnas-daughtershusband,1421
6,,(nefts),,1421
1B,,cumerusia(s),mr-cumerusias,1422
1C,nasa,,,1422
1,arnth cumeresa,,,1423
1,,a(rn)th cumere,,1427
1,pulfn(i)al,,,1428
1,,tutnei(al),mr-veliamrs-tutneismr-cumerus-daughtershusband,1429
1A,,tlesnei(alisa) cumeresa,mrs-fastimrs-tlesneis-sonswifemr-cumeres-sons-wife,1431
2,clepatras,clepatras,clepatras,1433
1,clepatra,clepatra,mr-clepatra,1434
1,,c(aii),mr-caiusvensiusmr-caiussson,1438
1,volchagi,,,1440
2,prcesa,prcesa,,1445
1,,venza,mr-venzaumranamrs-,1447
1,,fastia cumeruniasa,,1451
1,,seianti fanunia(s) tlesnasa,,1454
1,purnei,purnei,mrs-purnei,1455
2,anicisa,,,1455
1,--naapiavelu,,,1457
1,,larzile,mr-little-larth,1458
2,curspen,,,1458
1,,th(an)a setumnei(al) pumpuni(e)sa,,1459
2,,l(ar)th tlesna,mr-larthtlesnamrs-larthismrs-clantis,1460
1A,,thania velsi(al) tlesnasa,mr-thaniamrs-velsismr-tlesnas-daughters-husband,1462
1,,cierini(al),,1465
1,,c(aii),mr-caiusarriusmr-caiussson,1468
3,,a(rn)th arntni(al),,1468
2,,arntni(nial,mr-arnthof-the-arniensistribemrs-arris,1469
3,arntnal,,,1469
1B,,laut(nitha),,1473
1,lacepeni,,,1474
1,,resciunia(s),,1478
3,epnal,,mrs-cenepnis,1479
3,al,,mrs-anainis,1480
2,falsnesa,falsnesa,,1484
2,thnsl,th(a)ns(ia)l,,1486
3,ferclite,ferclite,,1487
2,unias,,,1489
2,auntnal,auntn(i)al,,1495
1,,vecui(al),,1500
1,larthi,,ms-larthi,1501
2,,alfni(al),mrs-alfnis,1501
1,,arnthialisa,,1513
1,,remznei(al) viliasa,,1516
1,,thania viliania(s),,1517
1,,v(e)l(ia) v(e)l(us),mr-veliaviliamr-velsmrs-marcnis,1518
1,,seianti(alisa),,1520
