,ID,City,Year - From,Year - To,Etruscan,Translation,key
36,LL 9 ,,,, śacnicleri • cilθl • śpureri | meθlumeric • enaσ • raχθ • tur • heχσθ | vinum ," On behalf of the sanctuary (?) of the citadel (?), on behalf of the community, and on behalf o f the city of Ena (?) place (it) on the rakh (and) pour (?) the wine. ",
37,LL 2 ,,,, raχθ • tura • nunθenθ • clitram • σrenχve | tei • faσei , (One) shall place (it) on the rakh (while) anointing (?) the litter with σrenχve (and) with this libation,
38,Ta 1.96 ,Tarquinia,,, lartiu cuclnies • larθal • clan | larθialc einanal | camθi eterau ," Lartiu Cuclnies, son of Larth and Larthi Einanei, camthi eterau. ",
39,Cl 1.147 ,Clusium,,, lθ : peθna : aθ : titial : ścire ," Larth Pethna Shcire, (son) of Arnth and Titi ",
40,Cl 1.324 ,Clusium,,, velia : śeianti : aθ : unatn | cumerunia raθum | naśa ," Velia Sheianti Cumerunia, (daughter) of Arnth (and) Unatnei, the (wife) of Rathumna ",
41,Cr 1.60 ,Caere,,, marce • maclae , Marce Maclae,
42,Cr 1.10 ,Caere,,, avle • tarχnas • larθal • clan ," Aule Tarkhnas, son o f Larth ",
43,Cr 1.6 ,Caere,,, li • tarχnas • crucrials ," Laris Tarkhnas, (born) from Crucri ",
44,Cr 1.5 ,Caere,,, av • tarχnas • av • c • | crucrials • ," Aule Tarkhnas, son of Aule, (born) from Crucri ",
45,Cr 1.138 ,Caere,,, r • matunai | canatnei , Ramtha Matunai Canatnei,
46,Vs 1.28 ,Volsinii,,, mi larθia hulχenas velθurus cles ," I (am the tomb) of Larth Hulkhenas, son of Velthur. ",
47,Ta 1.13 ,Tarquinia,,, larθi : spantui : larces : spantus : seχ : arnθal : partunus : puia : ," Larthi Spantui, daughter of Larce Spantus, wife of Arnth Partunus ",
48,AT 1.15 ,Ager Tarquiniensis,,, vipinanas • velθur • velθurus • avils • XV ," Velthur Vipinanas, (son) of Velthur, (dead) at fifteen years of age ",
49,Cl 1.373 ,Clusium,,, śeianti • hanunia • tleσnaśa ," Sheianti Hanunia, the (wife) of Tlesna ",
50,Cl 1.1006 ,Clusium,,, vel • fastntru • aθ ," Vel Fastntru, (son) o f Arnth ",
51,Ta 1.15 ,Tarquinia,,, partunus • vel • velθurus • | σ'atlnalc • ramθas • clan • avils | XXIIX lupu ,"Vel Partunus, son of Velthur, and Ramtha Shatlnai, dead at twenty-eight years (of age) ",
52,Ta 1.18 ,Tarquinia,,, pulenas • velθur • larisal • acnatrualc • avils LXXV ," Velthur Pulenas, (son) of Laris and Acnatrui, (dead) at seventy-five years (of age) ",
53,At 1.111 ,Ager Tarquiniensis,,, θanχvil : ruvfi : puia arnθal aleθ{na}s ," Thankhvil Ruvfi, wife of Arnth Alethnas ",
54,Ta 1.59 ,Tarquinia,,, ravnθu | velχai | velθuruσ'a | seχ | larθialiσ'la ," Ravnthu Velkhai, the daughter of Velthur, (who is) the (son) of Larth ",
55,Vs 1.178 ,Volsinii,,, vel leinies : larθial : ruva : arnθialum | clan : velusum : prumaθσ : avils : semφσ | lupuce ," Vel Leinies, brother of Larth (and) son o f Arnth (and) great-grandson (?) of Vel, died at seven years of age. ",
56,Cl 1.1502 ,Clusium,,, anti { : } pater • cicuσ ," Antipater, (slave) of Cicu ",
57,Cl 1.970 ,Clusium,,, hasti : petruσ : ," Hasti, (slave) o f Petru ",
58,Cl 1.314 ,Clusium,,, θana : punp | naσ : lautni | θa ," Thana, freedwoman of Punpna ",
59,Cl 1.1645 ,Clusium,,, tiφile : lau | velχeσ | puliac ," Tiphile, freedman of Velkhe and Pulia ",
60,Cl 1.2513 ,Clusium,,, aθ : tiφile : palpe : pulias ," Arnth Tiphile Palpe, (son) of Pulia ",
61,Cl 1.1134 ,Clusium,,, vel : tite : aules ," Vel Tite, (son) of Aule ",
62,Pe 1.211 ,Perusia,,, lar{n}θ • ścarpe • lautni ," Larth Shcarpe, freedman ",
63,Pe 1.219 ,Perusia,,, l • eucle • φisis • lavtni ," Larth Eucle, freedman of Phisi ",
64,Vs 1.55 ,Volsinii,,, mi aranθia flavienas , I (am the tomb) of Aranth Flavienas,
65,Vs 1.85 ,Volsinii,,, mi velelias hirminaia , I (am the tomb) of Velelia Hirminai.,
66,Vs 1.28 ,Volsinii,,, mi larθia hulχenas veθurus cles ," I (am the tomb) o f Larth Hulkhenas, son of Velthur. ",
67,Vs 1.120 ,Volsinii,,, [mi ma]marces apenas qutus , I (am the tomb) of Marce Apenas Qutu.,
68,Vs 1.45 ,Volsinii,,, aveles vhulχenas rutelna ," (The tomb) of Avele Fulkhenas, (son) of Rutelnai ",
69,Ta 1.147 ,Tarquinia,,, ceicnas : arnθ : arnθal : avils : XXIX ," Arnth Ceicnas, (son) of Arnth, (dead) at age twenty-nine ",
70,Vc 1.84 ,Vulci,,, tutes • arnθ • larθal ," Arnth Tutes, (son) of Larth ",
71,Cl 1.2261 ,Clusium,,, aule : śeiante : σinu | larθal : tiścuśn | al : clan ," Aule Sheiante Sinu, son of Larth and Tishcushnei",
72,Cl 1.1807 ,Clusium,,, aθ : herine : vipinal :  | fufle ," Arnth Herine, (son) of Vipinei, Fufle ",
73,Cl 1.2050 ,Clusium,,, larθ : peθna : śeθrnal : arnθal ," Larth Pethna, (son) o f Shethrnei and Arnth ",
74,Cl 1.1885 ,Clusium,,, larθia : latini : ceśunia : tutnaśa | ultimnial : σeχ ," Larthia Latini Ceshunia, the (wife) of Tutna, daughter of Ultimni ",
75,Vt 3.1 ,Volaterrae,,, mini muluvanice vhlakunaie venel , Venel Vhlakunaie gave me (as a gift).,
76,Co 3.7 ,Cortona,,, larθia : ateinei :  | flereσ : matrnσl :  | turce , Larthia Ateinei dedicated (this statue) to the divinity Matrns.,
77,Ta 3.2 ,Tarquinia,,, itun turuce vene.l .a.telinas tinas cliniiaras , Venel Atelinas dedicated this (vase) to the sons of Tinia.,
78,Sp 2.36 ,Spina,,, mi faσena tataσ tulaluσ , I (am) the libation vessel of Tata Tulalu.,
79,Cr 1.10 ,Caere,,, avle • tarχnas • larθal • clan ," Aule Tarkhnas, son of Larth ",
80,Ta 3.6 ,Tarquinia,,, cn • turce • murila • hercnas :  | θuflθas • cver : ," Murila, (slave) of Hercnas, dedicated this (statue) to Thufltha as a votive offering (?). ",
81,Cr 3.20 ,Caere,,, mi<ni> aranθ ramuθaςi veςtiricinala muluvanice , Aranth gave me to Ramutha Vestiricinai.,
82,ETP 269 ,,,, mini muluvanice tetana vel.ka.s.na.s. veleliiasi , Tetana Velkasnas gave me to Veleliia.,
83,AH 3.4 ,,,, mi titasi cver menaχe , I was made as a votive offering (?) for Tita,
84,Fa 6.3 ,Falerii et Ager Faliscus,,, mi araθiale ziχuχe , I was decorated for Ara(n)th.,
85,Cr 3.10 ,Caere,,, mi mulu larisale velχainasi , I (was) given to Laris Velkhainas.,
86,Cr 3.7 ,Caere,,, mi spurieisi teiθurnasi aliqu , I (was) donated to Spurie Teithurnas.,
87,ETP 303 ,,,, mi mulu araθiale θanaχvilus prasanaia , I (was) given by Aranth to Thankhvil Prasanai,
88,ETP 74 ,,,, cên • zic • ziχuχe • śparzêσtiσ • σazleiσ • in | θuχti • cuśuθuraσ • śuθiu ame , This document was written from a tablet of bronze which is placed in the house of the Cushu.,
89,Vc 1.64 ,Vulci,,, larθ tutes anc farθnaχe veluis | tuteis θanχviluisc | turials{c} , (It was) Larth Tutes who was born from Vel Tutes and Thankhvil Turi.,
90,Cr 3.17 ,Caere,,, mini turuce larθ : apunaς veleθnalς ," Larth Apunas, (born) from Velethnai, dedicated me. ",
91,Co 3.6 ,Cortona,,, veliaσ • fanacnal • θuflθao | alpan • menaχe • clen • ceχa • tuθineσ • tlenaχeiσ , Thank offering (?) of Velia Fanacnei for (the divinity) Thufltha. It was made in honor of her son by the city district (?) Tlenakhe (?).,
92,Pe 3.1 ,Perusia,,, eta : kavθaσ : aχuiaσ : perśie | avle numnaσ turke , This (vase) is for (the divinity) Kautha Akhuia in Perusia; Aule Numna dedicated (it as an offering).,
93,LL 6 ,,,, zaθrumsne • luśaσ • fler • hamφisca • θezeri ," On the twentieth (day) for (the divinity) Lusha the victim, the one from the left (?), must be immolated. ",
94,LL 2 ,,,, nunθenθ • cletram • σrenχve | tei • faσei , (after) anointing (?) the litter with srenkhvas (and) with this libation,
95,Vc 1.59 ,Vulci,,, clθi [ : ] [σ'uθi]θi : ra[m] [;] ceisatrui | cesu : p[ru]σlnas : [p]uia velus | rapi : [---]e : te[---] ," In this tomb (was) buried Ramtha Ceisatrui, the wife of Vel Prushlnas, rapi ... ",
96,At 1.100 ,Ager Tarquiniensis,,, [al]eθnas : arnθ : larisal : zilaθ : tarχnalθi : amce ," Arnth Alethnas, (son) of Laris, was governor in the [city] of Tarkhna. ",
97,LL 9 ,,,, σacnicleri • cilθl • σpureri | meθlumeric • enaσ • raχθ • tur • heχσθ | vinum ," On behalf of the sanctuary (?) of the citadel (?), on behalf of the community, and on behalf of the city of Ena (?) place (it) on the rakh (after) pouring (?) the wine. ",
98,Vt 4.5 ,Volaterrae,,, fl • śupri manince | vipinaltra ulχniśla | clz tetanuσ ," Fl(avia) Shupri offered (?) (this statue) to (the divinity) Cel Tetanu (?) in honor of Vipinei, the wife of Ulkhni. ",
99,Ta 5.5 ,Tarquinia,,, zilci : vel[u]s[i] : hul | χniesi larθ : vel | χas : vel[θur]us : aprθn[al] | c : cl[a]n : sacniσ'a : θui | [ecl]θ : σ'uθiθ : acazrce ," In the governorship of Vel Hulkhnies, Larth Velkhas, the son of Velthur and of Aprthnei, the sacni, acazrce here in this tomb. ",
100,At 1.172 ,Ager Tarquiniensis,,, larθ : χurχles : arnθal : χurχles : θanχvilus[c] cracial | clan : avils : ciem zaθrms : lupu ," Larth Khurkhles, son of Arnth Khurkhles and Thankhvil Craci, (was) dead at seventeen years of age. ",
101,Ta 1.82 ,Tarquinia,,, arnθ • apunas • velus • {maa-} | maχ cezpalχ • avil | svalce ," Arnth Apunas, (son) of Vel, lived for thirty-five years. ",
102,Ta 1.62 ,Tarquinia,,, laris : velχas | veluσ'a | clan ," Laris Velkhas, the son of Vel ",
103,Cr 1.141 ,Caere,,, vel • crepus • [lar]θaliσ'a ," Vel Crepus, the (son) of Larth ",
104,AT 1.34 ,Ager Tarquiniensis,,, eca : mutna : velθurus : sta<t>lanes | larisaliσ'la ," This (is the) sarcophagus of Velthur Statlanes, the (son) of Laris. ",
105,Pe 5.2 ,Perusia,,, cehen : śuθi : ... careśri : auleσ : larθial : precuθuraśi :  | larθialiśvle : ceśtnal : clenaraσi : ... ," This tomb ... must be careshri-ed by members of the Precu family, Aule (and) Larth, the sons of Larth and Cestnei. ",
106,Cr 5.3 ,Caere,,, vel : matunas : larisaliσ'a | an : cn : ς'uθi : ceriχunce ," (It was) Vel Matunas, the (son) of Laris, who built this tomb. ",
107,Ta 1.31 ,Tarquinia,,, [e]ca : σ'uθi anes | cuclnies , This (is) the tomb of Ane Cuclnies.,
108,Cm 2.32 ,Campania,,, mi limu.r.ce.s. ta pruχu.m. , I (am) the jug of Limurce.,
109,Cm 2.65 ,Campania,,, mi cupes ta , I (am) the (ceramic) of Cupe.,
110,LL 6 ,,,, zaθrumsne • luśaσ' • fler • hamφisca • θezeri ," On the twentieth (day) for (the divinity) Lusha the victim, the one from the left (?), must be immolated. ",
111,Vs 4.8 ,Volsinii,,, selvans | sanχuneta | cvera ," Selvans, the one of Sankhu, a votive offering (?) ",
112,Ta 1.182 ,Tarquinia,,, camnas • larθ • larθal • σ'atnalc • clan • an • σ'uθi • lavtni • zivas • ceriχu<nce> ... ," (it was) Larth Camnas, the son of Larth and Shatnei, who built (this) family tomb while still living. ",
113,ETP 74 ,,,, cên • zic • ziχuχe • śparzêσtiσ • σazleiσ • in | θuχti • cuśuθuraσ • śuθiu • ame , This document was written from a tablet of wood (?) which is placed in the depository (?) of the Cushu.,
114,Cr 2.33 ,Caere,,, mi squlias θina mlaχ mlakas , I (am) the beautiful water vessel of the beautiful Squlia.,
115,Cr 5.2 ,Caere,,, laris • av | le • laris | al • clenar | sval • cn • ς'uθi | ceriχunce ... ," Laris (and) Aule, sons of Laris, (while) living built this tomb. ",
116,Ta 1.191 ,Tarquinia,,, velθur larθal • clan | pumpual clan • larθial | avils • cealχls • lupu ," Velthur, son of Larth and son of Larthi Pumpui, (was) dead at thirty years of age. ",
117,Ta 1.89 ,Tarquinia,,, lucer • laθerna | svalce avil | XXVI , Lucer Latherna lived for twenty-six years.,
118,Vs 1.86 ,Volsinii,,, mi larices telaθuras σ'uθi , I (am) the tomb of Larice Telathuras.,
119,Cr 2.15 ,Caere,,, mi lariςa velθieς , I (am) the (vase/property) of Laris Velthies.,
120,Cr 3.12 ,Caere,,, mi hirumesi mulu , I (was) given to Hirume.,
121,LL 9 ,,,, trin • flere • neθunσl , Invoke the divine spirit of Nethuns.,
122,LL 5 ,,,, var • celi • śuθ , Place the var on the ground.,
123,Cm 2.13 ,Campania,,, mi χuliχna cupe.s. .a.l.θ.r.na.s. .e.i. minipi capi | mini θanu , I (am) the vessel of Cupe Althrnas. Don't take me. 6anu me.,
124,LL 9 ,,,, raxθ • tur • heχσθ • vinum , Put (it) on the rakh (after) pouring (?) the wine.,
125,LL 4 ,,,, raxθ • tura • heχσθ | vinum , He (the officiant) shall put (it) on the rakh (after) pouring (?) the wine.,
126,TCa 8 ,,,, iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri ," On the Ides, on the ilucu, in April, for (the divinity) Lethams ilucu cuieskhu must be celebrated (?). ",
127,LL 6 ,,,, luθti • raχ • ture • acil , (it is) necessary (that) he (the officiant) put the rakh in the sacred area (?).,
128,AT 1.46 ,Ager Tarquiniensis,,, ceisu[i] : σ'eθra | σ'eθres : sec | calisnia[l]c : ramθ[as] | avils : XV ," Shethra Ceisui, daughter of Shethre and Ramtba Calisni, (was dead) at fifteen years. ",
129,LL 11 ,,,, vinum • θic ... , wine and water,
130,LL 9 ,,,, σacnicleri • cilθl • σpureri | meθlumeric • enaσ • raχθ • tur • heχσθ | vinum ," On behalf of the sanctuary (?) of the citadel (?), on behalf of the community, and on behalf of the city of Ena (?) place (it) on the rakh (after/while) pouring (?) the wine. ",
131,Vs 1.178 ,Volsinii,,, vel leinies : larθial : ruva : arnθialum | clan : velusum : prumaθσ : avils : semφσ | lupuce ," Vel Leinies, brother of Larth and son of Arnth and grandson (?) of Vel, died at seven years of age. ",
132,LL 8 ,,,, mulaχ • huślna • vinum | laiveism • acilθ • ame ," and one should give hushlna wine, but it is necessary (to offer it) from the left (?). ",
133,AT 1.47 ,Ager Tarquiniensis,,, saturinies • arnθ • | larθal • fulnial | avils • XXXVIII ," Arnth Saturnies, (son) of Larth (and) Fulni, (dead) at thirty-eight years ",
134,Vt S.2 ,Volaterrae,,, eca : sren :  | tva : iχna | c hercle :  | unial cl | an : θra{ : }sce , This scene (?) shows (?) that Hercle became the son of Uni.,
135,Pe 8.4 ,Perusia,,, iχ • ca | ceχa • ziχuχe , as this was written above (?),
136,Vc 7.38 ,Vulci,,, eca : ersce : nac : aχrum : flerθrce , this one ersce because Acheron flerthrce,
137,Pe 5.2 ,Perusia,,, eθ : fanu : lautn : precuσ : ipa : murzua : cerurum : ein :  | heczri , Thus the family of Precu (has) determined (?) that (?) the ossuaries and the cerur (?) must not be heczri,
138,Ta 1.168 ,Tarquinia,,, semni • r[a]mθa • spitus la[rθal] | puia • amce • lupu • avils • XXII | huσur • ci • acnanas ," Ramtha Semni was wife of Larth Spitus, dead at ? years (after) having given birth to three children. ",
139,AT 1.105 ,Ager Tarquiniensis,,, aleθnas • v • v • θelu • zilaθ • parχis • | zilaθ • eterav clenar • ci • acnanasa • | elsσ'i zilaχnu • θeluσ'a ril • XXVIIII | papalser • acnanasa • VI • manim • arce ril • LXVI ," Vel Alethnas, (son of) Vel, (was) thelu (?), governor of the parx, (and) governor of the etera. Having produced three sons, having served X times as governor, the thelu (?) by (?) age twenty-nine, having produced six grandchildren, he constructed a funerary monument (?) at age sixty-six. ",
140,Cr 3.11 ,Caere,,, mini mu.l.vanice mama.r.ce : ve.l.χana.ς. , Mamarce Velkhanas gave me (as a gift).,
141,Cr 3.14 ,Caere,,, mini kaisie θannursiannaš mulvannice , Kaisie Thannursiannas gave me (as a gift).,
142,Ve 3.2 ,Veii,,, velθur tulumneš pesn<a> <n>uzinaie mene mul[uvanice] , Velthur Tulumnes (and) Pesna Nuzinaie gave me (as a gift).,
143,Cr 2.27 ,Caere,,, mi mlaχ mlakaš pruχum , I (am) the beautiful vase of a beautiful (person).,
144,Cr 3.9 ,Caere,,, mini σpurie utaš muluvanice , Spurie Utas gave me (as a gift).,
145,Vn 1.1 ,Vetulonia,600.0,600.0, [mi] aveleσ feluśkeσ tuσnutai[-pa] panalaσ mini mulvaneke hirumi[n]a φerśnaχś ," I (am the stele) of Avile Felushke, tuσmutai[-], (son) of Papanai. Hirumina, phershnakhsh, gave me. ",
146,ETP 213 ,Volsinii,600.0,500.0, [mi] aranθia lapanas , I (am the tomb) of Aranth Lapanas.,
147,ETP 214 ,Volsinii,600.0,500.0, mi aveles metienas , I (am the tomb) of Avele Metienas.,
148,ETP 43 ,Ager Clusinus,550.0,500.0, mi lauχumeśa katilaσ' , I (am) the (cippus) of Laukhume Katila.,
149,ETP 333 ,Saturnia,525.0,500.0, larθ laucies θamequ larecesi ka iseriθesi celeniarasi mini zinece ve<l>θur kam arteθi ," Larth Laucies (was) θamequ by (his) sons, Larece (and) Kaiserithe. Ve(l)thur made me in Kamarta. ",
150,AS 1.40 ,Ager Saenensis,500.0,500.0, [m]i lariśa feleśkenaσ' am[---] , I (am the cippus) of Larish Feleshkena...,
151,Li 1.1 ,Liguria,500.0,500.0, mi śuθi larθial muθikuσ , I (am) the tomb of Larth Muthiku.,
152,Vt 1.58 ,Volaterrae,500.0,400.0, mi laruσ : arianaσ • anaσnieσ klan ,"I (am the tomb) of Laru Ariana, son of Anasnie.",
153,Co 1.3 ,Cortona,400.0,300.0, tuσθi θui hupnineθi arnt mefanateσ veliak hapiśnei , Arnt Mefanate and Velia Hapishnei (were interred) in the tuσhere in the funerary niche (?).,
154,Ta 1.9 ,Tarquinia,350.0,325.0, velθur : partunus : larisaliσ'a : clan : ramθas : cuclnial : zilχ : ceχaneri : tenθas : avil svalθas : LXXXII ," Velthur Partunus, the son of Laris (and) of Ramtha Cuclni, having held the governorship on behalf of the Cekhana, (and) having lived for eighty-two years, (died/was interred here). ",
155,Ta 1.66 ,Tarquinia,300.0,300.0, vel : aties : velθurus : lemniσ'a : celati cesu ," Vel Aties, the (son) of Velthur and Lemni, (was) buried in this chamber. ",
156,ETP 192 ,Ager Tarquiniensis,275.0,250.0, cleusinas : laris : larisal : clan ," Laris Cleusinas, son of Laris. ",
157,Ta 1.168 ,Tarquinia,300.0,100.0, semni • r[a]mθa • spitus • la[rθal] puia • amce • lupu • avils • xXII huσ'ur • ci • acnanas ," Ramtha Semni was wife of Larth Spitus, having died at year ?, having given birth to three children. ",
158,Ta 1.81 ,Tarquinia,200.0,100.0, θui • clθi • mutn{ai}θi vel • veluσ'a • avils cis • zaθrmisc seitiθialiσ'a ," Here in this sarcophagus (lies) Vel, the (son) of Vel, (dead) at age twenty-three, the (son) of Seitithi. ",
159,Ta 1.107 ,Tarquinia,200.0,100.0, felsnas : la : leθes svalce : avil : CVI murce : capue tleχe : hanipaluscle ," Larth Felsnas, (son) of Lethe, lived for 1θ6 years. He murce in Capua. He tlekhe in the (army) of Hanipal. ",
160,ETP 287 ,Volsinii,200.0,100.0, σ' : cemnil : v ," Shethras Cemni, (daughter) of Vel. ",
161,ETP 181 ,Ager Clusinus,200.0,200.0, meinei • papasliś a • vl • titialc • σ'ec ," Meinei Papaslisha, daughter of Vel and Titi. ",
162,Pe 1.948 ,Perusia,,, śuθiσ' : eca penθuna cai : velσ' : caiσ' θareσ' : lautni ," This (is) the cippus of the tomb. Cai, freedman of Vel Cai Thare. ",
163,ETP 334 ,Ager Clusinus,90.0,90.0, hasti : velθuria : lautniθa ," Hasti Velthuria, freedwoman ",
164,AS 5.1 ,Ager Saenensis,,, ane • cae • vetus • acnaice , Ane Cae Vetu made (?) (this urn).,
165,AS 5.1 ,Ager Saenensis,,, aneσ' • caeσ' • puil • hu<p> ni • ei • itruta , The remains (?) of the wife of Ane Cae. One should not disturb (?) (them).,
166,ETP 230 ,Clusium,,, θa : titi : parfilunia melutaśa ," Thana Titi Parfilunia, the (wife) of Meluta. ",
167,ETP 240 ,Ager Saenensis,100.0,0.0, VEL • BER COMSN A • VELOSA I ," Vel Percomsna, the (son) of Vel. ",
168,Pe 1.211 ,Perusia,100.0,100.0, L • SCARPIUS • SCARPIAE • L • POPA ," Lucius Scarpius, freedman of Scarpia, priest's assistant ",
169,Pe 1.211 ,Perusia,100.0,100.0, lar{n}θ • scarpe • lautni ," Larth Shcarpe, freedman ",
170,Ar 1.3 ,Arretium,50.0,50.0, CN • LABERIUS • A • F POM ," Gnaeus Laberius, son of Aulus, of the voting tribe Pomptina",
171,Ar 1.3 ,Arretium,50.0,50.0, a • haprni • a aχratinalśa ," Aule Haprni, (son) of Aule, the (son) of Akhratinei ",
172,Um 1.7 ,Umbria,100.0,50.0, [L] [•] [CA]FATIUS • L • F • STE • HARUSPE[X] FULGURIATOR ," Lucius Cafatius, son of Lucius, of the voting tribe Stellatina, haruspex, interpreter of lightening strikes. ",
173,Um 1.7 ,Umbria,100.0,50.0, [c]afates • lr • lr • netσ'vis • trutnvt • frontac ," Laris Cafates, (son of) Laris, haruspex, interpreter of lightning. ",
174,Cr 5.2 ,Caere,400.0,300.0, laris • av le • laris al • clenar sval • cn • ς'uθi ceriχunce apac • atic saniς'θu i • cesu clavtieθ urasi ," Laris (and) Aule, sons of Laris, (while) living constructed this tomb. Both mother and father, the sani, (were) buried here. For the Claudii family. ",
175,Cr 5.4 ,Caere,,, laris : a[t]ies : an cn : tamera : φurθce , (It was) Laris Aties who φurθce this tomb chamber.,
